x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
878.599,1999.668,1637.326,1831.393,382.003,1800.548,1576.635,1525.116,808.983,1235.709,315.385,1269.536,1672.949,963.793,552.481,795.073,725.234,755.837,875.913,349.782,364.533,397.041,1649.849,177.485
876.729,1999.137,1637.146,1831.989,382.204,1800.659,1576.638,1525.324,805.021,1235.039,313.823,1267.693,1685.683,956.034,553.392,795.535,725.698,754.56,875.728,349.772,363.028,397.026,1649.182,177.602
875.858,1998.285,1636.356,1831.173,383.33,1800.494,1574.613,1525.021,804.969,1235.141,316.237,1262.417,1691.998,951.221,553.257,795.585,725.776,754.007,875.579,350.562,360.867,397.651,1648.254,177.615
874.411,1997.85,1638.044,1826.498,383.137,1805.037,1575.347,1525.195,803.472,1234.782,316.881,1259.763,1698.656,947.925,553.6,795.812,726.594,753.195,876.716,351.137,355.739,398.202,1648.172,177.794
874.724,1997.305,1634.873,1818.263,376.813,1812.911,1575.157,1525.191,803.776,1234.966,318.486,1255.604,1700.127,946.907,553.218,796.06,726.491,752.894,877.617,352.569,361.921,392.659,1648.138,178.07
874.481,1997.206,1633.656,1813.241,374.163,1816.475,1575.282,1525.342,801.916,1235.007,319.223,1254.936,1700.732,946.966,553.018,796.278,727.237,751.283,877.815,352.27,368.13,385.478,1648.912,178.293
873.645,1996.97,1633.771,1811.752,372.434,1819.028,1576.559,1525.686,800.436,1234.804,319.817,1253.139,1700.82,947.238,551.872,796.47,727.621,750.482,878.175,353.067,371.511,382.904,1648.458,178.317
874.622,1997.27,1633.586,1808.473,371.919,1820.855,1575.941,1525.753,801.294,1235.084,320.406,1253.653,1701.786,947.178,550.601,796.263,728.147,749.771,878.552,353.425,373.223,381.427,1648.09,180.502
874.077,1997.194,1632.909,1806.589,371.673,1822.249,1575.798,1525.725,799.495,1234.949,320.924,1249.275,1701.721,947.533,549.625,803.672,727.882,749.468,878.166,353.7,373.027,380.864,1653.03,194.105
874.129,1996.802,1631.937,1802.289,371.584,1823.315,1575.782,1525.746,799.814,1235.01,320.819,1251.626,1701.328,947.932,556.243,807.93,728.728,748.515,879.441,355.405,373.829,380.038,1652.169,206.054
873.269,1996.377,nan,nan,370.257,1825.603,1576.466,1525.968,nan,nan,321.695,1250.397,1701.862,948.013,556.112,811.282,729.168,748.642,879.672,356.018,374.019,379.727,1647.706,215.161
873.286,1996.436,1631.57,1799.831,369.951,1826.457,1575.905,1525.819,nan,nan,321.865,1250.664,1701.973,947.816,555.872,812.983,729.203,748.12,879.649,356.145,373.918,379.367,1642.7,224.676
